odds-home,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,odds-draw,odds-away,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result
1.17,7,2,1,22,4,178,92,92,52,6.5,21.0,3,3,4,9,11,105,124,52,81,H
2.0,4,1,5,10,15,110,151,64,83,3.3,4.0,4,0,6,14,18,116,155,57,79,D
1.91,4,2,4,10,15,120,130,68,69,3.4,4.2,2,2,6,11,15,125,99,58,49,A
8.0,3,1,6,11,18,76,144,37,80,4.5,1.4,6,2,2,22,10,189,74,105,41,H
3.5,1,3,6,11,16,141,124,81,69,3.3,2.1,8,2,0,15,6,152,66,74,31,H
2.5,3,1,6,8,16,125,162,68,95,3.3,2.88,3,3,4,11,18,107,101,52,51,D
3.0,2,2,6,8,13,121,152,66,85,3.3,2.38,4,1,5,23,16,132,98,81,48,H
3.0,2,3,5,12,18,90,137,49,68,3.3,2.38,6,2,2,19,12,98,128,57,60,H
3.25,5,2,3,22,12,178,76,97,42,3.25,2.3,6,3,1,19,8,176,110,114,61,H
2.25,5,2,3,15,17,100,180,55,90,3.25,3.4,2,2,6,7,12,127,155,70,89,A
1.2,7,2,1,15,8,152,68,72,32,6.0,19.0,3,2,5,10,17,135,147,72,86,H
2.38,3,3,4,9,15,100,127,49,84,3.3,3.0,4,2,4,11,13,124,124,68,66,A
2.6,3,1,6,13,18,114,144,57,77,3.25,2.8,4,3,3,13,16,107,136,57,81,A
1.8,3,2,5,12,14,115,100,57,49,3.4,5.0,4,1,5,12,16,75,143,40,78,D
1.7,5,2,3,15,12,90,126,48,59,3.8,5.0,3,2,5,9,15,107,156,61,86,A
8.0,2,4,4,10,18,101,106,46,54,4.33,1.44,7,2,1,23,4,177,81,92,44,A
2.38,3,2,5,8,9,124,123,58,66,3.25,3.1,3,2,5,13,17,90,125,52,57,H
2.25,4,1,5,21,14,130,104,79,50,3.3,3.3,2,3,5,12,15,141,124,80,65,A
1.5,6,2,2,24,12,174,88,98,49,4.0,7.0,5,2,3,14,11,99,133,55,65,A
2.0,2,3,5,9,19,97,117,44,63,3.4,3.8,2,3,5,8,16,97,119,48,78,A
6.0,3,2,5,8,11,128,161,72,92,3.75,1.62,7,2,1,16,7,147,63,74,30,A
3.3,4,2,4,9,8,123,125,58,67,3.3,2.25,3,3,4,13,14,137,121,78,65,H
1.14,6,2,2,19,9,175,110,111,64,7.5,23.0,3,2,5,9,14,69,160,39,90,H
